Archivo, Precisión, TP, FP, Pruebas, Galería,Distancia umbral, Proporción mínima, área mínima, Espacio colores, mascara, modo,norma
OneStopEnter1cor.mpg,"0,13",1,7,8,8,180,2.0,3000,RGB
OneStopNoEnter1cor.mpg,"0,13",1,7,8,9,180,2.0,3000,RGB
OneStopEnter2cor.mpg,"0,29",2,5,7,8,180,2.0,3000,RGB
ShopAssistant1cor.mpg,"0,40",2,3,5,9,180,2.0,3000,RGB
OneStopNoEnter1cor.mpg,"0,43",3,4,7,5,180,2.0,3000,HSV
OneStopMoveEnter2cor.mpg,"0,43",3,4,7,8,180,2.0,3000,RGB
OneShopOneWait2cor.mpg,"0,50",2,2,4,2,180,2.0,3000,HSV
OneShopOneWait1cor.mpg,"0,60",3,2,5,2,180,2.0,3000,HSV
ShopAssistant1cor.mpg,"0,67",2,1,3,2,180,2.0,3000,HSV
OneStopNoEnter2cor.mpg,"0,76",19,6,25,8,180,2.0,3000,HSV
ShopAssistant2cor.mpg,"1,00",3,0,3,2,180,2.0,3000,HSV
OneStopMoveEnter2cor.mpg,"1,00",9,0,9,3,180,2.0,3000,HSV
EnterExitCrossingPaths2cor.mpg,"1,00",1,0,1,4,180,2.0,3000,RGB
EnterExitCrossingPaths2cor.mpg,1.0,1,0,1,2,180,2.0,3000,RGB,False
EnterExitCrossingPaths2cor.mpg,error,0,0,0,1,180,2.0,3000,RGB,False
OneLeaveShop1cor.mpg,error,0,0,0,1,180,2.0,3000,RGB,False
OneLeaveShop2cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False
OneLeaveShopReenter1cor.mpg,1.0,8,0,8,2,180,2.0,3000,RGB,False
OneShopOneWait1cor.mpg,0.714285714286,5,2,7,2,180,2.0,3000,RGB,False
OneShopOneWait2cor.mpg,1.0,2,0,2,3,180,2.0,3000,RGB,False
OneStopEnter1cor.mpg,0.657894736842,25,13,38,4,180,2.0,3000,RGB,False
OneStopEnter2cor.mpg,0.818181818182,36,8,44,4,180,2.0,3000,RGB,False
OneStopMoveEnter1cor.mpg,error,0,0,0,4,180,2.0,3000,RGB,False
OneStopMoveEnter2cor.mpg,0.787878787879,26,7,33,4,180,2.0,3000,RGB,False
OneStopMoveNoEnter1cor.mpg,0.315789473684,6,13,19,4,180,2.0,3000,RGB,False
OneStopMoveNoEnter2cor.mpg,0.290322580645,9,22,31,5,180,2.0,3000,RGB,False
OneStopNoEnter1cor.mpg,0.484848484848,16,17,33,5,180,2.0,3000,RGB,False
OneStopNoEnter2cor.mpg,0.642857142857,9,5,14,7,180,2.0,3000,RGB,False
ShopAssistant1cor.mpg,0.8,4,1,5,7,180,2.0,3000,RGB,False
ShopAssistant2cor.mpg,0.5,2,2,4,7,180,2.0,3000,RGB,False
ThreePastShop1cor.mpg,error,0,0,0,7,180,2.0,3000,RGB,False
EnterExitCrossingPaths1cor.mpg,error,0,0,0,1,180,2.0,3000,RGB,False
EnterExitCrossingPaths1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
EnterExitCrossingPaths2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneLeaveShop1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneLeaveShop2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneLeaveShopReenter1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneLeaveShopReenter2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneShopOneWait1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneShopOneWait2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneStopEnter1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneStopEnter2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneStopMoveEnter1cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
OneStopMoveEnter2cor.mpg,error,0,0,0,4,180,0.5,3000,RGB,False,agregar
EnterExitCrossingPaths1cor.mpg,error,0,0,0,0,180,0.5,3000,RGB,False,agregar
EnterExitCrossingPaths1cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False,agregar
EnterExitCrossingPaths2cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False,agregar
OneLeaveShop1cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False,agregar
OneLeaveShop2cor.mpg,error,0,0,0,3,180,2.0,3000,RGB,False,buscar
EnterExitCrossingPaths1cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False,agregar
EnterExitCrossingPaths2cor.mpg,error,0,0,0,4,180,2.0,3000,RGB,False,agregar
OneLeaveShop1cor.mpg,error,0,0,0,4,180,2.0,3000,RGB,False,agregar
OneLeaveShop2cor.mpg,error,0,0,0,5,180,2.0,3000,RGB,False,buscar
OneLeaveShopReenter1cor.mpg,error,0,0,0,5,180,2.0,3000,RGB,False,buscar
OneLeaveShopReenter2cor.mpg,error,0,0,0,5,180,2.0,3000,RGB,False,buscar
OneShopOneWait1cor.mpg,error,0,0,0,5,180,2.0,3000,RGB,False,buscar
OneShopOneWait2cor.mpg,error,0,0,0,5,180,2.0,3000,RGB,False,buscar
EnterExitCrossingPaths1cor.mpg,error,0,0,0,1,180,2.0,3000,RGB,False,buscar
EnterExitCrossingPaths2cor.mpg,error,0,0,0,2,180,2.0,3000,RGB,False,agregar
OneLeaveShop1cor.mpg,error,0,0,0,3,180,2.0,3000,RGB,False,buscar
OneLeaveShop2cor.mpg,error,0,0,0,3,180,2.0,3000,RGB,False,buscar
OneLeaveShopReenter1cor.mpg,error,0,0,0,3,180,2.0,3000,RGB,False,buscar
OneLeaveShopReenter2cor.mpg,error,0,0,0,3,180,2.0,3000,RGB,False,buscar
